kozterulet;hosszusag;szelesseg;funkcio
Hegyköz utca;2,5;3,4;dolgozószoba
Föltámadás utca;2,3;3,1;háló
Olajfa utca;1,6;1,3;WC
Unokakert utca;1,3;1,1;WC
Fogarasi utca;3;2;háló
Daru utca;3,1;2,6;háló
Vaskapu utca;1,9;2,3;gardrób
Rézvirág utca;3,3;2,2;fürdőszoba
Kaszás utca;1,3;1;WC
Kormorán utca;3,9;2,8;gardrób
Palóc utca;4,2;3;háló
Bimbó utca;2,6;2;konyha
Vályogos utca;2,6;3,5;mosókonyha
Zöldmező utca;1,7;3,1;kamra
Hangyás köz;3,9;2,6;háló
Nagy-Eged utca;2,4;2,8;fürdőszoba
Orsolya utca;2,5;3,9;gardrób
Porzó utca;3,4;4;dolgozószoba
Harkály utca;1,1;1,4;WC
Hajós Alfréd utca;1,3;1,2;WC
Kalász utca;2,5;3,2;konyha
Kormorán utca;4,2;3,4;háló
Boszorkányfű utca;4,9;4,3;nappali
Ág utca;2,9;2,7;erkély
Szikra utca;4;3,2;háló
Mikepércsi út;4,1;2,2;háló
Tóth Árpád utca;1,9;1,4;erkély
Fürtös köz;3;2,5;háló
Zsoldos köz;3,9;2,9;háló
Gesztenyési út;2,7;2;fürdőszoba
Bokros utca;1,5;1,2;WC
Bacsó Béla utca;3,2;3,8;háló
Harcos sor;2,3;3,2;gardrób
Bánk bán utca;3,4;3,4;dolgozószoba
Martinka sor;4,3;4,4;nappali
Vértanú utca;4,6;3,7;háló
Kisszőlő utca;2,5;3,6;fürdőszoba
Vécsey utca;3,4;5;háló
Bóbita utca;2,9;2,3;háló
Nyárád utca;2,5;5;háló
Barackos utca;2,2;1,8;erkély
Knézich Károly utca;2,2;3,8;fürdőszoba
Richter Gedeon utca;1,7;2,2;gardrób
Hajnalka utca;1,9;2,4;gardrób
Páfrány utca;3,1;2,7;dolgozószoba
Ráchegy utca;4,3;4,7;nappali
Szikigyakor utca;3,8;4,1;háló
Homoródi utca;3,5;2,8;háló
Keszi utca;2,4;2,4;erkély
Füzes utca;1,8;1,2;WC
Hentes utca;4,9;4,5;nappali
Kisfenyves utca;2,2;2,8;dolgozószoba
Rétikanyar utca;2,8;2;konyha
Rozmaring utca;1,5;1,8;WC
Bulcsú utca;3,9;4;háló
Halastó utca;2;2,5;fürdőszoba
Pápai utca;4,1;3,2;háló
Perczel Mór utca;1,4;1,3;WC
Vadmálna utca;4,3;2,8;háló
Holdsugár utca;4,9;4,8;nappali
Guti utca;3,2;2,3;fürdőszoba
Kabar utca;2,4;4,2;fürdőszoba
Bürök utca;3,1;3,1;terasz
Újhelyi köz;3,9;3,8;mosókonyha
Ujjaskosbor utca;2,5;2,7;erkély
Fogarasi utca;2;3,1;háló
Ezüstnyár utca;3,2;3,5;konyha
Föld utca;1,2;1,2;WC
Gőz utca;3,3;3,7;háló
Harangos utca;4,5;2,5;háló
Keszi utca;3,1;3,3;háló
Kormosalma utca;4;4,6;háló
Jáger utca;3,4;2,1;konyha
Maklári út;2,7;3,7;fürdőszoba
Zsombolyai utca;2,1;2,1;háló
Bondorhát utca;3,4;2,8;konyha
Bem utca;2,2;2,4;erkély
Péczely utca;3,3;2,5;konyha
Hortenzia utca;2,1;2;gardrób
Csúcs utca;2,6;4,4;háló
Karinthy Frigyes utca;2,7;3,5;fürdőszoba
Cser utca;3,1;2,9;háló
Ujjaskosbor utca;3,5;2,4;háló
Rétikanyar utca;1,1;1,2;WC
Törő utca;2,3;2,3;gardrób
Hajlat utca;4,1;4,4;háló
Templom köz;2;4,4;háló
Kisállomás utca;3,5;3,9;nappali
Déri tér;3,5;4,4;háló
Szotyori utca;4;3,8;háló
Borbíró tér;6,7;6,8;nappali
Guti utca;4,7;5,5;nappali
Veres utca;2;3,9;dolgozószoba
Martinovics utca;2,1;3,3;fürdőszoba
Görgey utca;2,2;3,9;gardrób
Csikós utca;2,8;2,9;fürdőszoba
Dorozsma utca;2,5;2,3;fürdőszoba
Vécsey utca;3,9;3,2;fürdőszoba
Bükkmogyoró utca;1,8;1,1;erkély
Toldás köz;3,9;2,2;kamra
Só utca;2,4;3,1;konyha
Sarlófű utca;4,1;3,5;háló
Téglagyár utca;3,5;3,7;háló
Liliomkert utca;2,9;4,9;háló
Harangos utca;2,8;2,4;fürdőszoba
Körtöltés utca;2,4;2,5;háló
Lőcsei utca;0,8;0,9;kamra
Fokos utca;4,3;3,6;háló
Krónikás utca;1,5;1,4;WC
Pemetefű utca;1,2;1,2;WC
Hadnagy utca;3,5;4,2;háló
Lévai Béla utca;2,2;2,5;konyha
Vág utca;4;4;háló
Dáni utca;3,7;2,1;háló
Zárda utca;2,5;2,9;dolgozószoba
Kard utca;4,3;3,2;fürdőszoba
Ív utca;2,4;2,2;erkély
Dohánykert utca;1,4;1,5;kamra
Héja utca;3,6;3,6;konyha
Téglaverő utca;2,7;2,4;fürdőszoba
Ormós Lajos utca;2,1;3;fürdőszoba
Tölgy utca;6,1;4,7;nappali
Toldás köz;5,5;6,2;nappali
Hátszegi utca;0,9;1;kamra
Zsurló utca;2,8;2,3;fürdőszoba
Törő utca;3,1;2,4;fürdőszoba
Cserfa utca;4,2;2,8;konyha
Tündérhegy utca;4,9;3,8;nappali
Mézesbáb utca;4,6;2,6;fürdőszoba
Szamóca utca;3,9;3,5;konyha
Kincseshegy utca;2,8;3,3;háló
Verőszala utca;3,7;3,1;háló
Lóverseny utca;4,4;3,3;fürdőszoba
Pinty utca;2,8;3,7;háló
Szarvas tér;1,9;4;kamra
Kisvasút sor;2,9;3,9;gardrób
Makó utca;1,1;1,9;WC
Síntelep utca;3,6;3,7;konyha
Cserép köz;3,7;2,5;konyha
Acél utca;3,1;2,8;dolgozószoba
Perczel Mór utca;3,7;2,3;dolgozószoba
Toldás köz;1;1,2;WC
Balaton utca;4;5,1;nappali
Nagy Jenő utca;3,3;3,5;háló
Fenyő utca;3,4;3,5;fürdőszoba
Varsa utca;2,6;3,4;háló
Kecsege utca;4,7;3,9;nappali
Leányszállás köz;2,4;2,2;háló
Gyimesi utca;5,3;4,3;nappali
Lehel utca;2,6;4,7;háló
Héja utca;3,8;3,7;dolgozószoba
Szikigyakor utca;4,5;5,6;nappali
Salétrom utca;3,3;3;háló
Kőrösmező utca;0,9;1;kamra
Szilágyság utca;2,8;2,1;konyha
Madár utca;2;1,8;erkély
Törökverő utca;3,5;4,1;háló
Fokos utca;2;1,9;gardrób
Huba köz;3,3;2,1;dolgozószoba
Vág utca;2,5;2,2;gardrób
Trinitárius utca;4,2;3,8;fürdőszoba
Papzug utca;5,6;4,1;nappali
Csereág utca;2,9;2,9;fürdőszoba
Ingovány utca;3,1;4,4;konyha
Hatvan utca;3,2;3,1;háló
Veresgyűrű utca;2,7;3,4;háló
Ajtony köz;1,8;1,7;WC
Csikós utca;3,5;3,8;háló
Pihenő utca;3,4;2,8;háló
Kerekerdő utca;1;0,9;kamra
Tócópart utca;5;3,5;fürdőszoba
Felhő utca;4,4;4,3;háló
Kórház utca;2,4;3,1;fürdőszoba
Gyimesi utca;2,9;3,3;terasz
Galagonya utca;5,2;6;nappali
Nagy-Eged utca;2,1;2,2;fürdőszoba
Péchy utca;4,6;4,6;háló
Bocskai utca;4,6;4,7;háló
Szarvas tér;4,4;4,4;fürdőszoba
Havasigyopár utca;4,2;4,2;háló
Vadliba utca;3,8;3,8;kamra
Baross Gábor utca;3;2,6;fürdőszoba
Kinizsi Pál utca;4,1;4,2;háló
Szilvásújfalvi utca;3,2;2,9;háló
Tegzes utca;2,8;2,3;háló
Vereshomok dűlő;3,3;3,8;háló
Pemetefű utca;4,4;4;háló
Arad utca;1,6;1,2;WC
Sövény utca;2,5;2,8;fürdőszoba
Szamóca utca;1;1;kamra
Kartács utca;4,3;3,4;háló
Holdsugár utca;2,1;1,5;gardrób
Zsurló utca;3,2;2,3;dolgozószoba
Bányász utca;3,7;3,7;háló
Balzsamfű utca;1,1;1,1;WC
Öreghegyi utca;3,4;2,2;konyha
Zsurló utca;2,3;2,9;fürdőszoba
Árnyas utca;5,3;5,7;nappali
Éger utca;1,8;1,5;kamra
Szélpart utca;2,4;3,8;fürdőszoba
Acél utca;2,4;2,9;fürdőszoba
Gyertyaöntő utca;4,6;5;nappali
Baltacin utca;2,1;2,3;gardrób
Nagybecskereki utca;2,5;3,2;háló
Csurgó utca;3,1;3,9;dolgozószoba
Kard utca;3;3,5;fürdőszoba
Felhő utca;1,9;2,4;gardrób
Emese utca;2,3;3,1;háló
Nagyfekete út;4;3,4;háló
Dinnyés utca;1;1,3;WC
Vöcsök utca;2,8;2,5;háló
Rézöntő utca;2,1;3,6;dolgozószoba
Kereskedő köz;2,9;2;fürdőszoba
Ráchegy utca;2,5;2,1;gardrób
Boszorkányfű utca;3,7;3,5;fürdőszoba
Örökzöld köz;2,1;2,3;konyha
Medok utca;1,5;1,2;WC
Harangos utca;3,3;2,6;háló
Basahíd utca;2,2;3,3;dolgozószoba
Csörlő utca;3,8;2,3;dolgozószoba
Síntelep utca;2,1;1;erkély
Thomas Mann utca;2;2,3;dolgozószoba
Iringó utca;2,6;2;fürdőszoba
Acél utca;4,7;2,2;konyha
Pasztinák köz;3,2;2,8;fürdőszoba
Küküllő utca;2,5;2;fürdőszoba
Cifrakapu utca;6;5;konyha
Toldás köz;4;4,5;háló
Vásártér sor;4,9;4,9;háló
Tüzép köz;0,8;0,9;kamra
Bárány utca;3,9;3,9;dolgozószoba
Csutorás utca;0,9;1;kamra
Téglagyár utca;4;2,1;konyha
Törköly utca;2,1;2,9;terasz
Töhötöm utca;2,9;2,6;erkély
Gomba utca;4,2;4,3;fürdőszoba
Boldizsár utca;2,9;3,9;háló
Legátus utca;3,2;2,4;konyha
Széperdő utca;2,2;2,5;gardrób
Balzsamfű utca;6,3;5;nappali
Rahói utca;4,2;5;nappali
Pacsirta utca;2,7;3,6;konyha
Oltványi utca;2,8;2,4;erkély
Küküllői utca;2,4;2,7;erkély
Csikós utca;3,1;3,8;fürdőszoba
Arató utca;2,9;3,5;konyha
Kisszőlő utca;2,9;2,2;háló
Malajdok út;3,8;3,6;konyha
Vándor köz;1,3;1,5;erkély
Szömörce utca;3,1;2,2;háló
Déri tér;2,5;1,6;gardrób
Rebarbara utca;2,4;2,6;fürdőszoba
Csurgó utca;1,9;1,7;WC
Erzsébet utca;1;0,9;kamra
Rézöntő utca;2,5;3,1;háló
Vécsey utca;2,2;3,9;konyha
Méheskert utca;4,1;3,5;nappali
Kacagány utca;2,9;2,6;fürdőszoba
Kormosalma utca;1,8;1,1;WC
Tükrösszív utca;4,4;2,9;háló
Kece utca;2;3,4;kamra
Pacsirta köz;5;2,2;konyha
Szikra utca;2,4;3,6;fürdőszoba
Kozma utca;2,3;2,2;háló
Házgyári út;3,7;3,4;háló
Aranypohár dűlő;3,6;2,8;háló
Felsőpércsi utca;2,6;2,9;háló
Vásárhelyi Pál utca;3;2,7;konyha
Nagyecsed utca;2,4;2,5;erkély
Napfény utca;3,7;4,8;nappali
Ókút utca;2,1;2,3;fürdőszoba
8. utca;3,3;3,9;dolgozószoba
Kondorosiér út;1;0,8;kamra
Mókus utca;3;2,5;háló
Cserfa utca;3,9;2,3;terasz
Géza utca;2,4;2,3;gardrób
Fekete István utca;0,9;1;kamra
Ujjaskosbor utca;4,2;5,4;nappali
Holdsugár utca;2,9;3,4;háló
Törökverő utca;3,7;2,1;kamra
Liget sor;3,3;3,3;kamra
Kormorán utca;4,6;4,2;háló
Szamóca utca;3,3;3,4;konyha
Bocskai utca;3,8;3,4;háló
Magház utca;2,8;3,7;fürdőszoba
Szélső sor;3,4;3,2;háló
Csöndes utca;2,8;3,7;háló
Várad utca;2,7;4,8;konyha
Harkály utca;3,7;2,9;fürdőszoba
Lehel utca;3,5;5,5;konyha
Hajlat utca;3;3,6;kamra
Gyimes utca;1,7;1,5;erkély
Bajza utca;3;2,8;háló
Mazsola utca;2,2;3,9;háló
Figyelőhalmi út;3,7;3,8;dolgozószoba
Szordasi út;3,7;3,8;háló
Nyárád utca;3,1;4,6;konyha
Kis-Tisza utca;2,5;4,3;háló
Tündérhegy utca;1,1;1,1;erkély
Bartók Béla út;1,4;1,3;WC
Nagy-Eged utca;5,5;2,2;konyha
Bárány utca;1,6;1,9;erkély
Lehel utca;3,7;2,7;fürdőszoba
Tisza utca;2,2;3,1;háló
Akácfa utca;3,2;3,8;háló
Kisszőlő utca;3,5;2,5;dolgozószoba
Csertő utca;3,4;3,3;háló
Aranyosi utca;2,7;5;konyha
Pákász utca;1,3;1,1;WC
Borbíró tér;2,1;3,4;dolgozószoba
Nyárfa utca;2,2;3,8;fürdőszoba
Károli Gáspár utca;1,9;2,3;erkély
István út;2,1;2,4;konyha
Tegzes utca;2,8;2,2;fürdőszoba
Hadnagy utca;3,5;3,7;háló
Boszorkányfű utca;3,1;2,4;háló
Ezüstfa utca;2,3;2,6;konyha
Lehel utca;3,1;2,7;terasz
Vadrózsa sor;3,8;2,2;terasz
Paphegy utca;3,1;3;fürdőszoba
Veres utca;3,7;2,5;háló
Déva utca;1,4;1,1;WC
Fenyőmag utca;6,8;4,6;nappali
Erzsébet utca;1;1,2;WC
Baross Gábor utca;4,8;4,6;nappali
Vöcsök utca;1,3;1,4;WC
Dorogi utca;2,2;2,1;erkély
Törköly utca;4,2;5,3;nappali
Hajnalka utca;3,9;3,4;fürdőszoba
Magház utca;2,1;4,8;fürdőszoba
Vályogos utca;1,7;1,8;kamra
Károli Gáspár utca;1,6;1,7;gardrób
Bajonett utca;2,6;3,7;háló
Nagydobos utca;1,6;1,6;kamra
Fecske köz;3,8;3,1;háló
Kis-Tisza utca;2,7;1,6;erkély
Balzsamfű utca;1,3;1,7;WC
Ispotály utca;2,6;4,4;háló
Ungvár utca;3,7;3,2;kamra
Fóliás utca;2,6;4,8;háló
Költő utca;3,5;3,9;háló
Körtvélyes utca;3,2;3,6;háló
Bem utca;4,8;3,9;háló
Majdáni sor;3,8;4,4;nappali
Fonatos utca;3,2;3,1;fürdőszoba
Mézesbáb utca;2,6;2,6;dolgozószoba
Felsőpércsi utca;0,9;1;kamra
Munkácsy Mihály utca;3,9;5,7;nappali
Margitvirág utca;2;3,3;konyha
Hasító utca;2,1;2,9;fürdőszoba
Koszorú utca;2,3;2,4;erkély
Kadét utca;5,9;5,7;nappali
Pinty utca;4,8;4,7;nappali
Lóding utca;0,9;0,9;kamra
Görgény utca;3,9;2,1;háló
Zsombolyai utca;1,3;1,3;WC
Szentháromság utca;2,8;3,8;konyha
Szentháromság utca;4,9;2,8;háló
Kiskút utca;2,7;3,9;fürdőszoba
Margitvirág utca;3,1;3,7;kamra
Szarvas tér;3,6;4;terasz
Avar köz;2,8;3,4;háló
Köteles utca;2,4;2,4;erkély
Orgona sor;4,2;2,2;konyha
Ady köz;3;3,3;konyha
Jázmin utca;3,8;3,5;terasz
Sajó utca;2,3;3,6;dolgozószoba
Sármás utca;4,7;6;nappali
Csertő utca;3;2,3;háló
Nagyrét utca;3,9;5,8;nappali
Múzeum utca;4;4,3;fürdőszoba
Agyagos utca;2,9;1,4;erkély
Pécsi út;5,6;4,8;nappali
Törökverő utca;3,4;3,4;dolgozószoba
Ív utca;3,8;2,6;kamra
Fokos utca;1,4;1,9;kamra
Köszörűs utca;2,2;2,8;háló
Átrium köz;5,3;2,3;konyha
Dorozsma utca;2,4;3;konyha
Tóth Árpád utca;4;5,8;nappali
Vértanú utca;1,6;3,1;kamra
Kölcsey Ferenc tér;1,8;1,9;gardrób
Vigadó tér;2,2;2,6;gardrób
Kékszőlő utca;1,8;1;kamra
Porzó utca;4,6;4,4;fürdőszoba
Radnóti utca;1,1;1,4;kamra
Kövirózsa utca;3,6;3,6;terasz
Baross utca;1,7;3;kamra
Küküllői utca;4,4;3,8;háló
Ezerjó utca;3,7;4,8;nappali
Péterfia dűlő;2,2;1,8;gardrób
Tegzes utca;3,7;3,2;konyha
Kormosalma utca;2,3;2,1;mosókonyha
Harsona utca;1,2;1,9;WC
Acél utca;4,9;4,6;háló
Rozmaring utca;4,7;4,1;nappali
Fokos utca;5,3;3,8;nappali
Szamóca utca;1,5;1,4;WC
Hegedű utca;2,2;2,2;háló
Mészöly Géza utca;2;1,8;gardrób
Tas utca;2,1;2,8;fürdőszoba
Zöldmező utca;5,4;5,2;konyha
Bartók Béla út;1,3;1,5;WC
Napfény utca;2,5;2,3;konyha
Lenkei János utca;3,9;3,3;háló
Öreghegy utca;1,9;1,5;erkély
Rózsavölgy utca;0,9;0,8;kamra
Kalász utca;2,2;2,3;erkély
Dévai utca;1;0,9;kamra
Porzó utca;6,4;6,7;nappali
Lant utca;2,3;2,3;háló
Bornemissza utca;3;4,1;fürdőszoba
Medok utca;4,8;4,1;fürdőszoba
Vértanú utca;3,4;4,2;fürdőszoba
Hárs utca;3,8;2,9;fürdőszoba
Gomba utca;5,9;6,1;nappali
Apály utca;2,7;3,7;háló
Fonógyári út;3,5;2,4;háló
Tímár utca;4,5;4;nappali
Mimóza utca;1,6;2,2;gardrób
Szilvásújfalvi utca;3,4;2,9;dolgozószoba
Ludányi Antal utca;4,3;2,7;fürdőszoba
Budapesti út;3,4;2,2;háló
Törökverő utca;4;3,2;fürdőszoba
Ezüst utca;3;3,8;dolgozószoba
Ormós Lajos utca;3,8;3,8;konyha
Huszár utca;4;3;konyha
Tábornok utca;2,4;2,2;fürdőszoba
Kosbor köz;3,4;3,3;háló
Cifrakapu utca;2,9;4,5;háló
Csurgó utca;2,9;4,4;fürdőszoba
Hungária utca;4,8;6,1;nappali
Népdal utca;1,1;1,4;WC
Vajdahunyad utca;3;3,9;háló
Vadmálna utca;3,5;3,4;gardrób
Porcsin köz;3,7;3,3;háló
Krónikás utca;4,6;2,7;fürdőszoba
Szigony utca;2,1;3,3;háló
Hegyköz utca;2,8;2;háló
Nyilassy utca;2,6;4,4;háló
Gyertyaöntő utca;2,5;2,7;háló
Csereerdő utca;3,1;2,5;konyha
Kacagány utca;0,8;0,9;kamra
Verőszala utca;2,9;2,3;konyha
Rózsamajor köz;2,2;2,3;konyha
Törő utca;1,4;1,4;WC
Tóth Árpád utca;1,2;1,1;WC
Hattyas utca;4,7;3,3;háló
Nagyfekete út;1,1;1,3;WC
Kölcsey Ferenc utca;1;1,5;WC
Szikigyakor utca;3,8;2,8;háló
Bethlen Gábor utca;3,9;2,6;háló
Rókus utca;2;2,8;háló
Almagyar köz;3,6;3;mosókonyha
Lilla tér;2,9;3,4;konyha
Szercsika utca;3,3;3;háló
Emese utca;2,2;3,8;konyha
Homoródi utca;2,4;3,6;konyha
Kanális utca;4,4;3,3;konyha
Parittya utca;2,2;3,3;fürdőszoba
Benczúr Gyula utca;3,9;3,3;háló
Pancsovai utca;2,2;3,6;dolgozószoba
Csobánka utca;3,1;2,1;háló
Temesvári körút;4,6;3,9;fürdőszoba
Trinitárius utca;2,2;2,9;erkély
Panda tér;2,7;2,8;háló
Nagybotos utca;2,3;3,8;háló
Hungária utca;3,4;2,4;kamra
Bondorhát utca;4,4;4,7;nappali
Nyilassy utca;5,3;4,6;nappali
Lóding utca;2,1;3;konyha
Vásárhelyi Pál utca;1;1;kamra
Béke utca;1,1;1,4;kamra
Körtvélyes utca;1,5;1,5;kamra
Tábornok utca;3,5;3,9;háló
Közép fasor;4;3,9;konyha
Richter Gedeon utca;2,6;3;fürdőszoba
Magház utca;2,6;3,4;háló
Bajonett utca;2,9;2,1;fürdőszoba
Hullám utca;3;3;dolgozószoba
Damjanich utca;1,3;1,2;WC
Krónikás utca;2,2;2,5;dolgozószoba
Körtvélyes utca;3,9;3,6;háló
Bartók Béla út;2;4,3;háló
Huszár utca;3,4;3,7;kamra
Madárkút utca;2,2;4,8;fürdőszoba
Baross utca;3,7;3,5;háló
Küküllői utca;2,3;2,9;háló
Figyelőhalmi út;2,5;2;háló
Szarvas tér;2,3;2,6;erkély
Keszi utca;3,2;2,7;dolgozószoba
Nyárfasor utca;1,9;1,5;erkély
Szélpart utca;3;4,9;fürdőszoba
Fonógyári út;4,4;2,7;háló
Kövirózsa utca;2,5;3,3;háló
Vértanú utca;3,2;3,4;gardrób
Déri tér;4,4;2,1;háló
Futrinka utca;4,6;4,1;nappali
Mészöly Géza utca;3,6;3;fürdőszoba
Csereág utca;2,8;3,8;háló
Déri tér;1;1,7;kamra
Szőlő utca;3,1;3,4;fürdőszoba
Palánták dűlő;2,4;3,7;háló
Zsolnai utca;3,8;4,2;nappali
Újhelyi köz;3,2;2,2;gardrób
Liliomkert utca;4;5,9;konyha
Vadszőlő utca;1,1;1,3;WC
Mocsáry Lajos utca;6,5;4,3;nappali
Hullám utca;2,4;3,1;háló
Tüzér utca;2,1;2,8;fürdőszoba
Mikepércsi út;2,9;2,8;fürdőszoba
Fokos utca;3,6;3,4;dolgozószoba
Baross utca;5,1;5,5;konyha
Péczely utca;3,5;3,2;háló
8. utca;4,6;3,9;háló
Krisztina utca;1,7;2,6;erkély
Harcos sor;4,4;5;fürdőszoba
Bem utca;1,8;1,5;kamra
Vágóhíd utca;3,2;3,2;háló
Dalos utca;3;2,3;fürdőszoba
Körtvélyes utca;3,6;4,6;nappali
Basahíd utca;2,4;2,1;fürdőszoba
Vágóhíd utca;3,7;4,2;háló
Malvin utca;4,6;3,7;konyha
Réce utca;3,8;3,8;konyha
Fő tér;3,7;2;kamra
Görgey utca;2,8;2,5;kamra
Sziget utca;2,8;3,9;terasz
Balzsamfű utca;3,8;2,2;kamra
Pacsirta utca;3,4;2,2;háló
Tápai utca;4,1;5,4;nappali
Boroszlán utca;2,9;2,5;háló
Haláp utca;2,1;2,7;fürdőszoba
Hámfa utca;2,3;1,3;erkély
Munkácsy Mihály utca;1,3;1,3;WC
Téglagyár utca;4,4;5,7;nappali
Zárda utca;2,9;1,6;kamra
Vadkörte utca;3,2;3,9;fürdőszoba
Téglagyár utca;2,7;2,7;háló
Pinty utca;1,6;1,1;WC
Géza utca;5,2;5;konyha
Pesti utca;3,3;4,2;fürdőszoba
Bánk bán utca;2,3;2,6;dolgozószoba
Ujjaskosbor utca;2,3;3,5;fürdőszoba
Varsa utca;2,7;3,4;dolgozószoba
Szalmafonó utca;3,3;4,1;háló
Mézesbáb utca;5,5;5,2;konyha
Dió utca;2,5;2,9;fürdőszoba
Páfrány utca;1,8;1,3;erkély
Úszó utca;2,2;2;háló
Szordasi út;4;2,8;dolgozószoba
Parittya utca;3;2,9;háló
Richter Gedeon utca;1,4;1,4;WC
Bartók Béla út;2,4;4,3;háló
Magház utca;4,1;4,9;háló
Kisfenyves utca;3,9;4,7;háló
Hegyköz utca;5,8;5,6;nappali
Zsák utca;2,7;2,9;fürdőszoba
Körtöltés utca;2,1;3,9;konyha
Pemetefű utca;2;3,2;fürdőszoba
Csörsz utca;1,3;1,5;WC
Tímár utca;3,1;2,9;fürdőszoba
Kövirózsa utca;1,2;1,4;WC
Vadőr utca;5,8;4,6;nappali
Kisbánya utca;5,5;4;nappali
Ipar dűlő;2,7;2,9;erkély
Vető utca;2,4;3,8;kamra
Szentháromság utca;2,7;2,8;háló
Géresi utca;2,9;2,6;fürdőszoba
Nagykőporos út;4,4;4,8;háló
Kút utca;4;4,4;nappali
Teve utca;1,5;1,9;WC
Margitvirág utca;2,4;2,9;gardrób
Nyárfa utca;1,6;1,9;kamra
Völgyérhát utca;2,5;3,6;mosókonyha
Felsőpércsi utca;1,5;1;WC
Kereskedő köz;2,1;3,3;dolgozószoba
Mozsár utca;4;4;háló
Fóliás utca;3,7;2;gardrób
Ostoros utca;3,1;4,6;fürdőszoba
Síntelep utca;2,4;2,9;fürdőszoba
Fagyal utca;2,2;1,7;erkély
Daru utca;2,7;2,4;háló
Téglagyár utca;2,1;2,8;fürdőszoba
Barna utca;3,6;3,9;háló
Vöcsök utca;1,3;2;erkély
Rebarbara utca;2,2;2,1;konyha
Tócópart utca;3,1;3,9;dolgozószoba
Körtvélyes utca;2,8;2,6;dolgozószoba
Tócópart utca;4,6;4,3;háló
Úszó utca;3,7;2,4;háló
Mozsár utca;2;1,3;WC
Gyékényesi út;2,9;2,3;dolgozószoba
Tengelic dűlő;4,6;4,3;nappali
Nagyecsed utca;3,6;2,4;terasz
Balzsamfű utca;2,9;3,8;kamra
Agyagos utca;3,1;2,6;fürdőszoba
Lilla tér;2,3;2,2;erkély
Felhő utca;4,1;4,6;nappali
Liget utca;2,5;3,5;dolgozószoba
Gőz utca;0,8;0,9;kamra
Major utca;3,7;3,2;fürdőszoba
Hatvan utca;1,1;1,5;WC
Kiskút utca;4,3;4,9;nappali
Kölcsey Ferenc tér;4,1;3,6;nappali
Orgona sor;3,1;2,5;háló
Józsakert utca;4,3;3,2;háló
Nagyecsed utca;3,2;3,8;gardrób
Ambrus utca;2,7;3,4;háló
Mátyás király utca;2,4;2,1;fürdőszoba
Pipitér utca;3,8;2,6;háló
Vág utca;3,2;2,6;háló
Almagyar köz;3,9;3,3;háló
Széperdő utca;1,4;2,4;erkély
Hatvan utca;4,2;3,2;háló
Mester utca;5,2;4,6;nappali
Körtöltés utca;1,1;1,3;WC
Tápai utca;2,4;2,9;dolgozószoba
Pesti utca;2,9;4,5;konyha
Keszi utca;4,4;5,3;konyha
Sarlófű utca;2,9;3,6;fürdőszoba
Szíjártó köz;1,6;1,3;erkély
Nárcisz köz;3,5;1,7;kamra
Tükrösszív utca;2,1;2,9;mosókonyha
Szőlő utca;1,4;1,1;WC
Szercsika utca;2,3;2,5;háló
Rozmaring utca;4,6;3,9;fürdőszoba
Hatvan utca;4;2;kamra
Benczúr Gyula utca;3,2;2,5;dolgozószoba
Victor Hugo utca;4,9;5,3;nappali
Arató utca;5,7;5,3;nappali
Guti utca;3,9;2,9;fürdőszoba
Szilágyság utca;2,1;2,1;fürdőszoba
Perényi utca;4,1;4,1;nappali
Tóth Árpád utca;1,1;1,5;WC
Gyergyó utca;2,9;2,3;fürdőszoba
Kard utca;3,7;3,9;háló
Almagyar köz;1,4;1,9;WC
Gyékényesi út;4,7;2,6;háló
Nagyszéki út;2,3;2,9;fürdőszoba
Hullám utca;1;1,1;WC
Kisbotos utca;6;4,9;nappali
Krónikás utca;5,7;5,5;nappali
Lant utca;1,7;2,3;erkély
Május 1. utca;5,3;3,6;nappali
Vajdahunyad utca;4,8;4,7;nappali
Ludányi Antal utca;4,2;3,5;fürdőszoba
Figyelőhalmi út;2,7;4;konyha
Kard utca;2,4;1,6;kamra
Sóvirág út;2,7;3,3;mosókonyha
Bem utca;2,6;3,7;kamra
Csörsz utca;2,6;3,5;konyha
Berzsenyi Dániel utca;1,1;1,5;WC
Vécsey utca;6,3;6,5;nappali
Cserép köz;1;1,1;WC
Rózsamajor köz;1,2;1,3;WC
Szalonka utca;2,1;3,5;konyha
Téglagyár utca;4,5;6;nappali
Pók utca;3,9;2,6;háló
Síntelep utca;2,6;3,3;háló
Eszterházy tér;3,5;3,7;háló
Almafa utca;2,9;2,7;kamra
Vereshomok dűlő;3,3;2,4;dolgozószoba
Főző utca;4,2;2,8;konyha
Kormorán utca;4,3;5,6;konyha
Kövirózsa utca;2,7;4,5;háló
Part út;2,5;2,7;fürdőszoba
Szoboszlói út;4,2;4,4;fürdőszoba
Pelyva utca;1;1;kamra
Hajlat utca;5;4,2;fürdőszoba
Kontyvirág utca;4,6;3,8;nappali
Monostorerdő köz;2,1;2,6;fürdőszoba
Tükrösszív utca;2,3;3,1;fürdőszoba
Kubikos utca;2;2,6;háló
Odú utca;3,6;2,6;háló
Vadliba utca;2,7;3;gardrób
Hátszegi utca;2,1;2,5;konyha
Máglya sor;1,1;1,1;WC
Mészöly Géza utca;1,6;1,3;kamra
Debreceni út;4;4,5;nappali
Szőlő utca;2,1;3,4;háló
Porzó utca;3,7;2,3;dolgozószoba
